,下摆围,中腰围,前胸宽,前衣长,右袖口,右袖长,后中长,后背宽,小臂围,左袖口,左袖长,肚围,肚高,肩宽,胸围,袖肥,领围
685,95.0,82.0,0.0,0.0,23.0,60.0,72.0,0.0,0.0,23.0,60.0,0.0,0.0,43.0,96.0,37.0,38.0
686,103.0,95.0,0.0,0.0,24.0,60.0,74.0,0.0,0.0,24.0,60.0,0.0,0.0,44.0,105.0,39.0,40.0
687,98.0,88.0,0.0,71.0,24.5,64.0,73.0,0.0,0.0,24.5,64.0,0.0,0.0,44.5,98.0,36.0,39.0
688,107.0,100.0,0.0,0.0,26.0,63.0,74.0,0.0,0.0,26.0,63.0,0.0,0.0,46.0,109.5,39.0,41.0
689,105.0,97.0,0.0,0.0,25.0,61.0,74.0,0.0,0.0,25.0,61.0,0.0,0.0,45.0,107.0,40.0,42.0
690,105.0,97.0,0.0,0.0,25.0,61.0,74.0,0.0,0.0,25.0,61.0,0.0,0.0,45.0,107.0,40.0,42.0
691,97.0,88.0,0.0,0.0,24.0,62.0,71.0,0.0,0.0,24.0,62.0,0.0,0.0,43.0,99.0,37.0,38.0
692,105.0,96.5,0.0,0.0,24.0,62.0,74.0,0.0,0.0,24.0,62.0,0.0,0.0,46.0,106.5,39.0,42.0
693,105.0,96.5,0.0,0.0,24.0,62.0,74.0,0.0,0.0,24.0,62.0,0.0,0.0,46.0,106.5,39.0,42.0
694,107.0,100.0,0.0,0.0,26.0,63.0,74.0,0.0,0.0,26.0,63.0,0.0,0.0,46.0,109.5,39.0,41.0
695,98.0,88.0,0.0,71.0,24.5,64.0,73.0,0.0,0.0,24.5,64.0,0.0,0.0,44.5,98.0,36.0,39.0
696,98.0,86.0,0.0,0.0,24.0,61.0,72.0,0.0,0.0,24.0,61.0,0.0,0.0,43.0,94.0,36.5,37.0
697,106.0,100.0,1.0,0.0,25.0,59.0,75.0,0.0,0.0,25.0,59.0,0.0,0.0,45.5,108.0,40.0,41.5
698,101.0,91.0,0.0,70.0,24.0,61.0,72.0,0.0,0.0,24.0,61.0,0.0,0.0,44.0,102.0,37.5,39.0
699,97.0,88.0,0.0,0.0,24.0,62.0,71.0,0.0,0.0,24.0,62.0,0.0,0.0,43.0,99.0,37.0,38.0
700,106.0,98.0,49.5,77.0,17.5,60.0,75.0,45.0,26.5,17.5,60.0,103.5,0.0,45.0,105.0,37.0,40.0
701,106.0,98.0,49.5,77.0,17.5,60.0,75.0,45.0,26.5,17.5,60.0,103.5,0.0,45.0,105.0,37.0,40.0
702,110.0,107.0,0.0,0.0,26.0,60.0,73.0,0.0,0.0,26.0,60.0,0.0,0.0,47.0,112.0,42.0,42.0
703,100.0,93.0,0.0,0.0,23.0,58.0,70.0,0.0,0.0,23.0,58.0,0.0,0.0,43.0,99.0,36.5,37.5
704,114.0,107.0,0.0,0.0,29.0,59.0,78.0,0.0,0.0,29.0,59.0,0.0,0.0,50.0,113.0,44.5,44.5
705,102.0,89.0,0.0,0.0,24.0,61.5,76.0,0.0,0.0,24.0,61.5,0.0,0.0,46.0,102.0,39.0,39.0
706,92.0,70.5,0.0,67.0,16.5,57.0,68.0,0.0,0.0,16.5,57.0,71.0,0.0,43.0,43.0,27.0,37.5
707,98.0,85.0,0.0,64.0,22.5,52.5,64.0,0.0,0.0,22.5,52.5,81.5,0.0,43.0,95.0,34.0,38.5
708,115.0,109.0,0.0,74.0,27.5,61.5,72.0,0.0,0.0,27.5,61.5,0.0,0.0,48.5,120.0,39.5,43.0
709,101.0,93.0,0.0,0.0,24.0,62.0,74.0,0.0,0.0,24.0,61.5,0.0,0.0,45.0,103.0,39.0,40.0
710,111.0,100.0,40.0,81.0,24.4,66.0,78.0,41.0,0.0,24.0,66.0,106.0,0.0,47.0,112.0,40.0,45.0
711,110.0,107.0,42.5,0.0,20.0,59.0,70.5,46.5,0.0,20.0,59.0,110.0,0.0,42.5,112.0,42.0,41.0
712,110.0,107.0,42.5,0.0,20.0,59.0,70.5,46.5,0.0,20.0,59.0,110.0,0.0,42.5,112.0,42.0,41.0
713,110.0,107.0,42.5,0.0,20.0,59.0,70.5,46.5,0.0,20.0,59.0,110.0,0.0,42.5,112.0,42.0,41.0
